Source,Target,Weight
IT,IT,9
IT,IT,9
IT,IT,2
IT,IT,2
IT,IT,17
IT,IT,17
IT,IT,1
IT,IT,1
DE,DE,3
DE,DE,3
DE,SE,8
SE,DE,8
DE,GB,2
GB,DE,2
US,FR,1
FR,US,1
FR,DE,6
DE,FR,6
FR,GB,10
GB,FR,10
DE,GB,24
GB,DE,24
FR,CH,1462
CH,FR,1462
DE,DE,10
DE,DE,10
FR,US,1
US,FR,1
FR,US,2
US,FR,2
US,US,1
US,US,1
DE,DE,1
DE,DE,1
IT,US,2
US,IT,2
DE,DE,2
DE,DE,2
DE,DE,5
DE,DE,5
US,FR,2
FR,US,2
US,CH,2
CH,US,2
US,DE,6
US,DE,6
DE,US,6
IN,DE,1
DE,IN,1
IN,DE,4
DE,IN,4
JP,NL,2
NL,JP,2
BE,NL,2
NL,BE,2
CZ,CZ,2
CZ,CZ,2
US,FR,2
FR,US,2
US,FR,2
FR,US,2
CN,IT,3
IT,CN,3
CN,NL,3
NL,CN,3
IT,NL,3
NL,IT,3
FR,US,1
US,FR,1
CH,US,1
US,CH,1
FR,US,1
US,FR,1
FR,US,2
US,FR,2
FR,US,3
US,FR,3
US,CH,1
CH,US,1
FR,FR,9
FR,FR,9
FR,US,1
US,FR,1
FR,US,1
US,FR,1
US,US,1
US,US,1
FR,FR,13
FR,FR,13
FR,FR,13
FR,FR,13
FR,FR,13
FR,FR,13
FR,FR,14
FR,FR,14
FR,FR,14
FR,FR,14
FR,FR,29
FR,FR,29
FR,FR,2
FR,FR,2
FR,US,1
US,FR,1
US,CH,1
CH,US,1
FR,US,1
US,FR,1
FR,US,3
US,FR,3
CH,US,3
US,CH,3
DE,DE,1
DE,DE,1
DE,DE,1
DE,DE,1
DE,DE,1
DE,DE,1
FR,DE,279
DE,FR,279
FR,DE,1
DE,FR,1
DE,DE,1
DE,DE,1
DE,SG,1
SG,DE,1
DE,TR,1
TR,DE,1
DE,DE,4
DE,DE,4
DE,KR,1
KR,DE,1
DE,DE,1
DE,DE,1
DE,DE,2
DE,DE,2
DE,JP,1
JP,DE,1
DE,JP,1
JP,DE,1
DE,JP,3
JP,DE,3
US,DE,1
DE,US,1
DE,DE,4
DE,DE,4
DK,DK,1
DK,DK,1
FR,DE,1
DE,FR,1
FR,GB,1
GB,FR,1
DE,FR,1
DE,FR,1
FR,DE,1
DE,DE,1
DE,DE,1
DE,DE,1
DE,GB,1
DE,GB,1
GB,DE,1
DE,DE,1
DE,DE,1
US,LU,1
LU,US,1
US,NL,5
NL,US,5
US,LU,1
LU,US,1
KR,AT,7
AT,KR,7
US,DE,85
DE,US,85
JP,DE,1
DE,JP,1
JP,US,1
US,JP,1
DE,US,1
US,DE,1
DE,DE,1
DE,DE,1
IT,IT,1
IT,IT,1
FR,CH,1
CH,FR,1
DE,IT,2
IT,DE,2
IT,IT,7
IT,IT,7
SE,DE,1
DE,SE,1
SE,DE,5
DE,SE,5
IT,IT,2
IT,IT,2
DE,US,2
US,DE,2
DE,IT,8
IT,DE,8
DE,IT,2
IT,DE,2
FR,US,1
US,FR,1
PL,PL,20
PL,PL,20
DE,LI,3
LI,DE,3
